ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,duration
58EA53DA03794625,classic_bike,2023-07-30 02:09:52,2023-07-31 03:09:48,Columbus Drive,JC014,,,40.71835519823214,-74.03891444206238,,,member,1499.9333333333334
1B5D9D05C9B64527,classic_bike,2023-07-09 15:41:43,2023-07-10 16:41:39,South Waterfront Walkway - Sinatra Dr & 1 St,HB103,,,40.73698221818716,-74.02778059244156,,,casual,1499.9333333333334
11CD66C5A08C2413,classic_bike,2023-07-22 18:47:28,2023-07-23 19:47:22,South Waterfront Walkway - Sinatra Dr & 1 St,HB103,,,40.73698221818716,-74.02778059244156,,,casual,1499.9
3593B52E0B9F62A7,electric_bike,2023-07-12 12:37:46,2023-07-13 13:37:25,South Waterfront Walkway - Sinatra Dr & 1 St,HB103,,,40.73698221818716,-74.02778059244156,,,casual,1499.6499999999999
2256074314F741AB,classic_bike,2023-07-21 04:02:41,2023-07-22 05:02:30,Columbus Drive,JC014,,,40.71835519823214,-74.03891444206238,,,casual,1499.8166666666666
A35A79EA727D69CD,classic_bike,2023-07-15 03:14:03,2023-07-16 04:13:57,South Waterfront Walkway - Sinatra Dr & 1 St,HB103,,,40.73698221818716,-74.02778059244156,,,casual,1499.9
D79960DDC1CFE071,classic_bike,2023-07-22 01:56:36,2023-07-23 02:56:30,Clinton St & Newark St,HB409,,,40.73743,-74.03571,,,member,1499.9
BFBD96CEEEC93865,classic_bike,2023-07-31 20:54:01,2023-08-01 21:53:56,City Hall,JC003,,,40.7177325,-74.043845,,,member,1499.9166666666665
1B72BD4E77C6395A,classic_bike,2023-07-17 12:50:30,2023-07-18 13:50:22,12 St & Sinatra Dr N,HB201,,,40.75060414236896,-74.02402013540268,,,casual,1499.8666666666666
1AC1A73D8E1EDC1D,classic_bike,2023-07-20 11:31:08,2023-07-21 12:31:04,12 St & Sinatra Dr N,HB201,,,40.75060414236896,-74.02402013540268,,,casual,1499.9333333333334
2D328B96A4F529E1,classic_bike,2023-07-24 01:21:39,2023-07-25 02:21:18,12 St & Sinatra Dr N,HB201,,,40.75060414236896,-74.02402013540268,,,casual,1499.6499999999999
3B7570E37EB1F0DF,classic_bike,2023-07-30 14:08:13,2023-07-31 15:07:53,Brunswick & 6th,JC081,,,40.72601172964625,-74.05038893222809,,,casual,1499.6666666666665
896AA5A4D2420E30,classic_bike,2023-07-26 08:35:04,2023-07-27 09:34:59,Liberty Light Rail,JC052,,,40.7112423,-74.0557013,,,member,1499.9166666666665
788E877467BFC71B,classic_bike,2023-07-30 13:47:51,2023-07-31 14:47:45,Hoboken Terminal - Hudson St & Hudson Pl,HB101,,,40.73593758446329,-74.03030455112457,,,casual,1499.9
37DE6D8E47A4E5F6,classic_bike,2023-07-22 01:10:25,2023-07-23 02:10:21,Hoboken Terminal - Hudson St & Hudson Pl,HB101,,,40.73593758446329,-74.03030455112457,,,casual,1499.9333333333334
7595AE51950B6BEE,classic_bike,2023-07-16 15:43:59,2023-07-17 16:43:54,Hoboken Terminal - Hudson St & Hudson Pl,HB101,,,40.73593758446329,-74.03030455112457,,,casual,1499.9166666666665
8495608140161457,classic_bike,2023-07-09 11:39:04,2023-07-10 12:39:00,7 St & Monroe St,HB304,,,40.74641264837719,-74.03797701001167,,,casual,1499.9333333333334
AC18084CF66F8D13,electric_bike,2023-07-15 16:10:19,2023-07-16 17:10:13,Hudson St & 4 St,HB607,,,40.74097260864355,-74.02860336005688,,,casual,1499.9
